sample ID,sample,rep,base name,spectrum #,spectrum_id,treatment,functional group,cover type,species,site,notes
HB-7,7,1,EMIT_SPEC,716,EMIT_SPEC00716,wet,Lightly pigmented cyanobacteria,LC,Lightly pigmented cyanobacteria,HorseThief,
HB-7,7,2,EMIT_SPEC,717,EMIT_SPEC00717,wet,Lightly pigmented cyanobacteria,LC,Lightly pigmented cyanobacteria,HorseThief,
HB-7,7,3,EMIT_SPEC,718,EMIT_SPEC00718,wet,Lightly pigmented cyanobacteria,LC,Lightly pigmented cyanobacteria,HorseThief,
HB-7,7,4,EMIT_SPEC,719,EMIT_SPEC00719,wet,Lightly pigmented cyanobacteria,LC,Lightly pigmented cyanobacteria,HorseThief,
HB-7,7,5,EMIT_SPEC,720,EMIT_SPEC00720,wet,Lightly pigmented cyanobacteria,LC,Lightly pigmented cyanobacteria,HorseThief,
HB-8,8,1,EMIT_SPEC,721,EMIT_SPEC00721,dry,Bare ,B,Bare ,HorseThief,
HB-8,8,2,EMIT_SPEC,722,EMIT_SPEC00722,dry,Bare ,B,Bare ,HorseThief,
HB-8,8,3,EMIT_SPEC,723,EMIT_SPEC00723,dry,Bare ,B,Bare ,HorseThief,
HB-8,8,4,EMIT_SPEC,724,EMIT_SPEC00724,dry,Bare ,B,Bare ,HorseThief,
HB-8,8,5,EMIT_SPEC,725,EMIT_SPEC00725,dry,Bare ,B,Bare ,HorseThief,
HB-8,8,1,EMIT_SPEC,726,EMIT_SPEC00726,wet,Bare ,B,Bare ,HorseThief,
HB-8,8,2,EMIT_SPEC,727,EMIT_SPEC00727,wet,Bare ,B,Bare ,HorseThief,
HB-8,8,3,EMIT_SPEC,728,EMIT_SPEC00728,wet,Bare ,B,Bare ,HorseThief,
HB-8,8,4,EMIT_SPEC,729,EMIT_SPEC00729,wet,Bare ,B,Bare ,HorseThief,
HB-8,8,5,EMIT_SPEC,730,EMIT_SPEC00730,wet,Bare ,B,Bare ,HorseThief,
HB-9,9,1,EMIT_SPEC,731,EMIT_SPEC00731,dry,Lightly pigmented cyanobacteria,LC,Lightly pigmented cyanobacteria,HorseThief,
HB-9,9,2,EMIT_SPEC,732,EMIT_SPEC00732,dry,Lightly pigmented cyanobacteria,LC,Lightly pigmented cyanobacteria,HorseThief,
HB-9,9,3,EMIT_SPEC,733,EMIT_SPEC00733,dry,Lightly pigmented cyanobacteria,LC,Lightly pigmented cyanobacteria,HorseThief,
HB-9,9,4,EMIT_SPEC,734,EMIT_SPEC00734,dry,Lightly pigmented cyanobacteria,LC,Lightly pigmented cyanobacteria,HorseThief,
HB-9,9,5,EMIT_SPEC,735,EMIT_SPEC00735,dry,Lightly pigmented cyanobacteria,LC,Lightly pigmented cyanobacteria,HorseThief,
HB-9,9,1,EMIT_SPEC,736,EMIT_SPEC00736,wet,Lightly pigmented cyanobacteria,LC,Lightly pigmented cyanobacteria,HorseThief,
HB-9,9,2,EMIT_SPEC,737,EMIT_SPEC00737,wet,Lightly pigmented cyanobacteria,LC,Lightly pigmented cyanobacteria,HorseThief,
HB-9,9,3,EMIT_SPEC,738,EMIT_SPEC00738,wet,Lightly pigmented cyanobacteria,LC,Lightly pigmented cyanobacteria,HorseThief,
HB-9,9,4,EMIT_SPEC,739,EMIT_SPEC00739,wet,Lightly pigmented cyanobacteria,LC,Lightly pigmented cyanobacteria,HorseThief,
HB-9,9,5,EMIT_SPEC,740,EMIT_SPEC00740,wet,Lightly pigmented cyanobacteria,LC,Lightly pigmented cyanobacteria,HorseThief,
HB-10,10,1,EMIT_SPEC,741,EMIT_SPEC00741,dry,Bare ,B,Bare ,HorseThief,
HB-10,10,2,EMIT_SPEC,742,EMIT_SPEC00742,dry,Bare ,B,Bare ,HorseThief,
HB-10,10,3,EMIT_SPEC,743,EMIT_SPEC00743,dry,Bare ,B,Bare ,HorseThief,
HB-10,10,4,EMIT_SPEC,744,EMIT_SPEC00744,dry,Bare ,B,Bare ,HorseThief,
HB-10,10,5,EMIT_SPEC,745,EMIT_SPEC00745,dry,Bare ,B,Bare ,HorseThief,
HB-10,10,1,EMIT_SPEC,746,EMIT_SPEC00746,wet,Bare ,B,Bare ,HorseThief,
HB-10,10,2,EMIT_SPEC,747,EMIT_SPEC00747,wet,Bare ,B,Bare ,HorseThief,
HB-10,10,3,EMIT_SPEC,748,EMIT_SPEC00748,wet,Bare ,B,Bare ,HorseThief,
HB-10,10,4,EMIT_SPEC,749,EMIT_SPEC00749,wet,Bare ,B,Bare ,HorseThief,
HB-10,10,5,EMIT_SPEC,750,EMIT_SPEC00750,wet,Bare ,B,Bare ,HorseThief,
HB-11,11,1,EMIT_SPEC,751,EMIT_SPEC00751,dry,Darkly pigmented cyanobacteria,DC,Darkly pigmented cyanobacteria,HorseThief,
HB-11,11,2,EMIT_SPEC,752,EMIT_SPEC00752,dry,Darkly pigmented cyanobacteria,DC,Darkly pigmented cyanobacteria,HorseThief,
HB-11,11,3,EMIT_SPEC,753,EMIT_SPEC00753,dry,Darkly pigmented cyanobacteria,DC,Darkly pigmented cyanobacteria,HorseThief,
HB-11,11,4,EMIT_SPEC,754,EMIT_SPEC00754,dry,Darkly pigmented cyanobacteria,DC,Darkly pigmented cyanobacteria,HorseThief,
HB-11,11,5,EMIT_SPEC,755,EMIT_SPEC00755,dry,Darkly pigmented cyanobacteria,DC,Darkly pigmented cyanobacteria,HorseThief,
HB-11,11,1,EMIT_SPEC,756,EMIT_SPEC00756,wet,Darkly pigmented cyanobacteria,DC,Darkly pigmented cyanobacteria,HorseThief,
HB-11,11,2,EMIT_SPEC,757,EMIT_SPEC00757,wet,Darkly pigmented cyanobacteria,DC,Darkly pigmented cyanobacteria,HorseThief,
HB-11,11,3,EMIT_SPEC,758,EMIT_SPEC00758,wet,Darkly pigmented cyanobacteria,DC,Darkly pigmented cyanobacteria,HorseThief,
HB-11,11,4,EMIT_SPEC,759,EMIT_SPEC00759,wet,Darkly pigmented cyanobacteria,DC,Darkly pigmented cyanobacteria,HorseThief,
HB-11,11,5,EMIT_SPEC,760,EMIT_SPEC00760,wet,Darkly pigmented cyanobacteria,DC,Darkly pigmented cyanobacteria,HorseThief,
HB-12,12,1,EMIT_SPEC,761,EMIT_SPEC00761,dry,non-nitrogen fixing lichen,L,Psorab decipiens,HorseThief,
HB-12,12,2,EMIT_SPEC,762,EMIT_SPEC00762,dry,non-nitrogen fixing lichen,L,Psorab decipiens,HorseThief,
HB-12,12,3,EMIT_SPEC,763,EMIT_SPEC00763,dry,non-nitrogen fixing lichen,L,Psorab decipiens,HorseThief,
HB-12,12,4,EMIT_SPEC,764,EMIT_SPEC00764,dry,non-nitrogen fixing lichen,L,Psorab decipiens,HorseThief,
HB-12,12,5,EMIT_SPEC,765,EMIT_SPEC00765,dry,non-nitrogen fixing lichen,L,Psorab decipiens,HorseThief,
HB-12,12,1,EMIT_SPEC,766,EMIT_SPEC00766,wet,non-nitrogen fixing lichen,L,Psorab decipiens,HorseThief,
HB-12,12,2,EMIT_SPEC,767,EMIT_SPEC00767,wet,non-nitrogen fixing lichen,L,Psorab decipiens,HorseThief,
HB-12,12,3,EMIT_SPEC,768,EMIT_SPEC00768,wet,non-nitrogen fixing lichen,L,Psorab decipiens,HorseThief,
HB-12,12,4,EMIT_SPEC,769,EMIT_SPEC00769,wet,non-nitrogen fixing lichen,L,Psorab decipiens,HorseThief,
HB-12,12,5,EMIT_SPEC,770,EMIT_SPEC00770,wet,non-nitrogen fixing lichen,L,Psorab decipiens,HorseThief,
HB-13,13,1,EMIT_SPEC,771,EMIT_SPEC00771,dry,non-nitrogen fixing lichen,L,Fulgensia bracteata,HorseThief,
HB-13,13,2,EMIT_SPEC,772,EMIT_SPEC00772,dry,non-nitrogen fixing lichen,L,Fulgensia bracteata,HorseThief,
HB-13,13,3,EMIT_SPEC,773,EMIT_SPEC00773,dry,non-nitrogen fixing lichen,L,Fulgensia bracteata,HorseThief,
HB-13,13,4,EMIT_SPEC,774,EMIT_SPEC00774,dry,non-nitrogen fixing lichen,L,Fulgensia bracteata,HorseThief,
HB-13,13,5,EMIT_SPEC,775,EMIT_SPEC00775,dry,non-nitrogen fixing lichen,L,Fulgensia bracteata,HorseThief,
HB-13,13,1,EMIT_SPEC,776,EMIT_SPEC00776,wet,non-nitrogen fixing lichen,L,Fulgensia bracteata,HorseThief,
HB-13,13,2,EMIT_SPEC,777,EMIT_SPEC00777,wet,non-nitrogen fixing lichen,L,Fulgensia bracteata,HorseThief,
HB-13,13,3,EMIT_SPEC,778,EMIT_SPEC00778,wet,non-nitrogen fixing lichen,L,Fulgensia bracteata,HorseThief,
HB-13,13,4,EMIT_SPEC,779,EMIT_SPEC00779,wet,non-nitrogen fixing lichen,L,Fulgensia bracteata,HorseThief,
HB-13,13,5,EMIT_SPEC,780,EMIT_SPEC00780,wet,non-nitrogen fixing lichen,L,Fulgensia bracteata,HorseThief,
HB-14,14,1,EMIT_SPEC,781,EMIT_SPEC00781,dry,Lightly pigmented cyanobacteria,LC,Lightly pigmented cyanobacteria,HorseThief,
HB-14,14,2,EMIT_SPEC,782,EMIT_SPEC00782,dry,Lightly pigmented cyanobacteria,LC,Lightly pigmented cyanobacteria,HorseThief,
HB-14,14,3,EMIT_SPEC,783,EMIT_SPEC00783,dry,Lightly pigmented cyanobacteria,LC,Lightly pigmented cyanobacteria,HorseThief,
HB-14,14,4,EMIT_SPEC,784,EMIT_SPEC00784,dry,Lightly pigmented cyanobacteria,LC,Lightly pigmented cyanobacteria,HorseThief,
HB-14,14,5,EMIT_SPEC,785,EMIT_SPEC00785,dry,Lightly pigmented cyanobacteria,LC,Lightly pigmented cyanobacteria,HorseThief,
HB-14,14,1,EMIT_SPEC,786,EMIT_SPEC00786,wet,Lightly pigmented cyanobacteria,LC,Lightly pigmented cyanobacteria,HorseThief,
HB-14,14,2,EMIT_SPEC,787,EMIT_SPEC00787,wet,Lightly pigmented cyanobacteria,LC,Lightly pigmented cyanobacteria,HorseThief,
HB-14,14,3,EMIT_SPEC,788,EMIT_SPEC00788,wet,Lightly pigmented cyanobacteria,LC,Lightly pigmented cyanobacteria,HorseThief,
HB-14,14,4,EMIT_SPEC,789,EMIT_SPEC00789,wet,Lightly pigmented cyanobacteria,LC,Lightly pigmented cyanobacteria,HorseThief,
HB-14,14,5,EMIT_SPEC,790,EMIT_SPEC00790,wet,Lightly pigmented cyanobacteria,LC,Lightly pigmented cyanobacteria,HorseThief,
HB-15,15,1,EMIT_SPEC,791,EMIT_SPEC00791,dry,Bare ,B,Bare ,HorseThief,
HB-15,15,2,EMIT_SPEC,792,EMIT_SPEC00792,dry,Bare ,B,Bare ,HorseThief,
HB-15,15,3,EMIT_SPEC,793,EMIT_SPEC00793,dry,Bare ,B,Bare ,HorseThief,
HB-15,15,4,EMIT_SPEC,794,EMIT_SPEC00794,dry,Bare ,B,Bare ,HorseThief,
HB-15,15,5,EMIT_SPEC,795,EMIT_SPEC00795,dry,Bare ,B,Bare ,HorseThief,
HB-15,15,1,EMIT_SPEC,796,EMIT_SPEC00796,wet,Bare ,B,Bare ,HorseThief,
HB-15,15,2,EMIT_SPEC,797,EMIT_SPEC00797,wet,Bare ,B,Bare ,HorseThief,
HB-15,15,3,EMIT_SPEC,798,EMIT_SPEC00798,wet,Bare ,B,Bare ,HorseThief,
HB-15,15,4,EMIT_SPEC,799,EMIT_SPEC00799,wet,Bare ,B,Bare ,HorseThief,
HB-15,15,5,EMIT_SPEC,800,EMIT_SPEC00800,wet,Bare ,B,Bare ,HorseThief,
HB-16,16,1,EMIT_SPEC,801,EMIT_SPEC00801,dry,Darkly pigmented cyanobacteria,DC,Darkly pigmented cyanobacteria,HorseThief,
HB-16,16,2,EMIT_SPEC,802,EMIT_SPEC00802,dry,Darkly pigmented cyanobacteria,DC,Darkly pigmented cyanobacteria,HorseThief,
HB-16,16,3,EMIT_SPEC,803,EMIT_SPEC00803,dry,Darkly pigmented cyanobacteria,DC,Darkly pigmented cyanobacteria,HorseThief,
HB-16,16,4,EMIT_SPEC,804,EMIT_SPEC00804,dry,Darkly pigmented cyanobacteria,DC,Darkly pigmented cyanobacteria,HorseThief,
HB-16,16,5,EMIT_SPEC,805,EMIT_SPEC00805,dry,Darkly pigmented cyanobacteria,DC,Darkly pigmented cyanobacteria,HorseThief,
HB-16,16,1,EMIT_SPEC,806,EMIT_SPEC00806,wet,Darkly pigmented cyanobacteria,DC,Darkly pigmented cyanobacteria,HorseThief,
HB-16,16,2,EMIT_SPEC,807,EMIT_SPEC00807,wet,Darkly pigmented cyanobacteria,DC,Darkly pigmented cyanobacteria,HorseThief,
HB-16,16,3,EMIT_SPEC,808,EMIT_SPEC00808,wet,Darkly pigmented cyanobacteria,DC,Darkly pigmented cyanobacteria,HorseThief,
HB-16,16,4,EMIT_SPEC,809,EMIT_SPEC00809,wet,Darkly pigmented cyanobacteria,DC,Darkly pigmented cyanobacteria,HorseThief,
