Dir,Plant,File,Sample,Rep
EMIT_IC1_060724_,JUOS,62,1,2
EMIT_IC1_060724_,JUOS,63,1,3
EMIT_IC1_060724_,JUOS,64,2,1
EMIT_IC1_060724_,JUOS,65,2,2
EMIT_IC1_060724_,JUOS,66,2,3
EMIT_IC1_060724_,ATCA,67,3,1
EMIT_IC1_060724_,ATCA,68,3,2
EMIT_IC1_060724_,ATCA,69,3,3
EMIT_IC1_060724_,ATCA,70,4,1
EMIT_IC1_060724_,ATCA,71,4,2
EMIT_IC1_060724_,ATCA,72,4,3
EMIT_IC1_060724_,CORA,73,5,1
EMIT_IC1_060724_,CORA,74,5,2
EMIT_IC1_060724_,CORA,75,5,3
EMIT_IC1_060724_,ATCO,76,4,1
EMIT_IC1_060724_,ATCO,77,4,2
EMIT_IC1_060724_,ATCO,78,4,3
EMIT_IC1_060724_,EPTO,79,4,1
EMIT_IC1_060724_,EPTO,80,4,2
EMIT_IC1_060724_,EPTO,81,4,3
EMIT_IC1_060724_,ERNA,82,3,1
EMIT_IC1_060724_,ERNA,83,3,2
EMIT_IC1_060724_,ERNA,84,3,3
EMIT_IC1_060724_,KRLA,85,1,1
EMIT_IC1_060724_,KRLA,86,1,2
EMIT_IC1_060724_,KRLA,87,1,3
EMIT_IC1_060724_,EPTO,88,5,1
EMIT_IC1_060724_,EPTO,89,5,2
EMIT_IC1_060724_,EPTO,90,5,3
EMIT_IC1_060724_,CORA,91,6,1
EMIT_IC1_060724_,CORA,92,6,2
EMIT_IC1_060724_,CORA,93,6,3
EMIT_IC1_060724_,CORA,94,7,1
EMIT_IC1_060724_,CORA,95,7,2
EMIT_IC1_060724_,CORA,96,7,3
EMIT_IC1_060724_,EPTO,97,6,1
EMIT_IC1_060724_,EPTO,98,6,2
EMIT_IC1_060724_,EPTO,99,6,3
EMIT_IC1_060724_,ATCA,100,5,1
EMIT_IC1_060724_,ATCA,101,5,2
EMIT_IC1_060724_,ATCA,102,5,3
EMIT_IC1_060724_,ATCA,103,6,1
EMIT_IC1_060724_,ATCA,104,6,2
EMIT_IC1_060724_,ATCA,105,6,3
EMIT_IC1_060724_,KRLA,106,2,1
EMIT_IC1_060724_,KRLA,107,2,2
EMIT_IC1_060724_,KRLA,108,2,3
EMIT_IC1_060724_,ATCA,109,7,1
EMIT_IC1_060724_,ATCA,110,7,2
EMIT_IC1_060724_,ATCA,111,7,3
EMIT_IC1_060724_,EPTO,112,7,1
EMIT_IC1_060724_,EPTO,113,7,2
EMIT_IC1_060724_,EPTO,114,7,3
EMIT_IC1_060724_,KRLA,115,3,1
EMIT_IC1_060724_,KRLA,116,3,2
EMIT_IC1_060724_,KRLA,117,3,3
EMIT_IC1_060724_,ATCA,120,8,1
EMIT_IC1_060724_,ATCA,121,8,2
EMIT_IC1_060724_,ATCA,122,8,3
EMIT_IC1_060724_,EPTO,123,8,1
EMIT_IC1_060724_,EPTO,124,8,2
EMIT_IC1_060724_,EPTO,125,8,3
EMIT_IC1_060724_,SAVE,126,1,1
EMIT_IC1_060724_,SAVE,127,1,2
EMIT_IC1_060724_,SAVE,128,1,3
EMIT_IC1_060724_,JUOS,129,3,1
EMIT_IC1_060724_,JUOS,130,3,2
EMIT_IC1_060724_,JUOS,131,3,3
EMIT_IC1_060724_,ARSP,132,3,1
EMIT_IC1_060724_,ARSP,133,3,2
EMIT_IC1_060724_,ARSP,134,3,3
