"wavelength","CAL1","CAL2","CAL3"
474,0.891134995003597,0.27825495932293,0.0563254443272432
475,0.891544081526118,0.277841917489413,0.0563099380813751
476,0.89192766789015,0.277435509366734,0.0562745558893056
477,0.892340892120693,0.277034034741131,0.0562630291262344
478,0.892769982366315,0.276622457049167,0.0562605179527406
479,0.893170525185961,0.276185515365677,0.0562285254302382
480,0.893570859161588,0.275784131802437,0.0561890333193029
481,0.893967474746138,0.27540013800501,0.0561606201973332
482,0.894355363645185,0.275007431687238,0.0561539084452339
483,0.894743132304062,0.274626561445187,0.0561501105740205
484,0.89511465132047,0.274228258286288,0.0561341903174308
485,0.895473313268143,0.273803360861057,0.0561072592271992
486,0.89587825407523,0.273386504429507,0.0561060095027144
487,0.896233826844733,0.272941196805585,0.0560897330601482
488,0.896543477843393,0.272466386367021,0.0560576276979311
489,0.896886088128878,0.271986789037275,0.056038132009012
490,0.897162190425716,0.271508516351502,0.0560019336874718
491,0.897410916238212,0.271032273092044,0.0559549768316151
492,0.897698437634133,0.270555914528395,0.0559145281531109
493,0.897944197681532,0.270103581162106,0.0559030711290414
494,0.898196171286631,0.269649507911321,0.0558832262541155
495,0.898483263324975,0.269181315548744,0.05583733266693
496,0.898742207634111,0.268740371972772,0.0558261751896648
497,0.898968304665199,0.268302041089476,0.0558245349309506
498,0.899183859760437,0.267864052413668,0.055817953607969
499,0.899455427511915,0.267461109784213,0.0558052874867486
500,0.89972623727359,0.26701533392933,0.0557791886203399
501,0.899972015801758,0.266529115464863,0.0557554002871878
502,0.900183357558217,0.266047796066104,0.0557602389141222
503,0.90041993143497,0.265562232297825,0.0557309165966423
504,0.900650508281015,0.265076498011607,0.0556834051276248
505,0.900833740692204,0.264592978803377,0.0556472518223529
506,0.900983327231335,0.264101840486048,0.0556181559996188
507,0.90115189062471,0.263604796968478,0.0556016890684349
508,0.901356025618521,0.263100431118435,0.0555931510692097
509,0.901530577557281,0.262575266346232,0.055560448178052
510,0.901679306221643,0.26206689067386,0.0555431617892641
511,0.901839566633313,0.261575312034638,0.0555375579561152
512,0.902095709442851,0.261063278162064,0.0554960619195658
513,0.902297666067747,0.260551908267809,0.0554727830242626
514,0.902463132960359,0.260039028715818,0.0554609089584734
515,0.902669880806805,0.259512458865459,0.0554321046289945
516,0.902842851488517,0.258943701456406,0.0554087768451972
517,0.902988293735041,0.258346969442344,0.055387060477666
518,0.903124385320161,0.257736855534027,0.05535750635524
519,0.903259742147793,0.257078798530396,0.0553030336640092
520,0.903359466977439,0.256425516013988,0.0552612563005696
521,0.903427002246687,0.255807674624046,0.0552430020438854
522,0.9035396894453,0.25521064881555,0.0552078620387451
523,0.903645792679749,0.254636783152868,0.0551800850914674
524,0.903747779861123,0.254086909254313,0.0551644391359144
525,0.90388180599783,0.253570741932223,0.0551550660477862
526,0.904014517844388,0.25302588319957,0.055122485798521
527,0.904128888332061,0.252470406961129,0.0550824015334586
528,0.904216800876197,0.251946660410888,0.0550626996862597
529,0.904303179711491,0.251465403222015,0.0550549275138204
530,0.90438123407278,0.251002774191628,0.0550367341741763
531,0.904448729101396,0.250548653786104,0.055001274121348
532,0.904534485513144,0.250149342444893,0.0549968442332904
533,0.904619870877846,0.249779187705796,0.0550010951622775
534,0.904694529412488,0.249420191762681,0.0549969627698369
535,0.904755742657374,0.249066570047802,0.0549692588638836
536,0.904829547355628,0.248742640466415,0.0549610074546837
537,0.904910765145599,0.248447705773286,0.0549655108701776
538,0.904975720225605,0.248165196093838,0.0549466668823928
539,0.905065741988543,0.247901317321143,0.0549421112691466
540,0.905157092700601,0.24763996618046,0.0549460823132431
541,0.90521894984779,0.247367416471532,0.0549439481802562
542,0.905307751535566,0.247120557866221,0.0549433178930381
543,0.905393300227241,0.24686980574884,0.0549503271833198
544,0.905455376093495,0.246598355662931,0.0549620073942911
545,0.905526870855008,0.246343009060584,0.0549479638865955
546,0.905587050768739,0.2460938741204,0.0549384158308649
547,0.905641046925096,0.245843927179923,0.0549441868040986
548,0.905730526243403,0.24559065824281,0.0549551053998582
549,0.905815672670906,0.245326931254815,0.0549516806027596
550,0.905883318256841,0.24504856243047,0.0549425058877854
551,0.905933376375704,0.244753475101704,0.0549513315043195
552,0.906013203441149,0.244447788052591,0.0549621557283182
553,0.906076858728708,0.244125620764352,0.0549688465163
554,0.906079696273173,0.243784118845067,0.0549693033671118
